"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"14","Intermediate Filament Cytoskeleton (GO:0045111)","6/81",0.00181171515033299,0.0236257374398409,0,0,5.04385852090032,31.844306378524,"SYNM;DST;KRT17;NEFL;NEFM;VIM"
"15","Dense Core Granule (GO:0031045)","3/16",0.00189511262886424,0.0236257374398409,0,0,14.4561489465948,90.6180372881042,"SYT4;SYT1;NPY"
"16","Extracellular Membrane-Bounded Organelle (GO:0065010)","5/57",0.0020681918128441,0.0241719918126154,0,0,6.04998767258383,37.3954612748055,"ATP1A3;HAS2;CD9;FBLN2;VCL"
"17","Neuronal Dense Core Vesicle (GO:0098992)","2/5",0.00242640979185354,0.0266905077103889,0,0,41.6507936507937,250.793696719293,"SYT4;NPY"
"18","Extracellular Vesicle (GO:1903561)","5/60",0.00259577664112957,0.0269672351050683,0,0,5.71911421911422,34.0508598504191,"ATP1A3;HAS2;CD9;FBLN2;VCL"
"19","Cell-Substrate Junction (GO:0030055)","14/395",0.00441036919216678,0.0434073178386941,0,0,2.34079155947091,12.6959779475853,"DST;SPRY4;FHL2;CXCR4;KIF23;CORO2B;RHOB;DAB2;CSRP1;CD9;FLNB;DMD;VIM;VCL"
"20","Sarcoplasmic Reticulum (GO:0016529)","4/45",0.00553436366109681,0.0517463002312552,0,0,6.12234084002182,31.8164503846824,"CASQ2;ANK3;THBS1;TRDN"
"21","Cell-Cell Contact Zone (GO:0044291)","4/47",0.00646394223619861,0.0559578280536604,0,0,5.83698640315031,29.427259724748,"ANK3;FGFRL1;SLC8A1;VCL"
"22","Junctional Sarcoplasmic Reticulum Membrane (GO:0014701)","2/8",0.00658327388866593,0.0559578280536604,0,0,20.8222222222222,104.594667783135,"CASQ2;TRDN"
"23","Focal Adhesion (GO:0005925)","13/387",0.00915750053066677,0.0744544608362907,0,0,2.20779095130875,10.3615647642843,"DST;SPRY4;FHL2;CXCR4;KIF23;CORO2B;RHOB;DAB2;CSRP1;CD9;FLNB;VIM;VCL"
"24","Early Endosome (GO:0005769)","11/307",0.0101919979265148,0.0794126505107609,0,0,2.35445371842431,10.7978835328152,"CNTNAP2;NTRK2;RAB31;DTX3L;MYL1;AP1S2;CXCR4;PMEPA1;RAB38;EPHB1;WLS"
"25","Actin-Based Cell Projection (GO:0098858)","5/84",0.0108015607020028,0.0807956740509811,0,0,3.97679324894515,18.0071769143945,"ACTA2;ANGPT1;UNC5C;DMD;ACTG2"
"26","Dendrite (GO:0030425)","10/270",0.0112822527373712,0.0811454331495545,0,0,2.43335003758457,10.9124174763782,"PRNP;CNTNAP2;NTRK2;PRKAA2;ADCY2;SORBS2;ANK3;EPHB1;CLU;SLC8A1"
"27","Microfibril (GO:0001527)","2/11",0.0125319724558333,0.0852896995030441,0,0,13.8793650793651,60.7842921835533,"LTBP1;FBN1"
